maxMupPrimaryCareScore,nursingMaxHpsaScoreMh,maxMuaPrimaryCareScore,nhscMaxHpsaScoreMh,specialtyTwo,semesterEndYear,sitePostalCode,siteLatitude,semesterSeason,siteProgramAbbreviatedList,siteAddressLine2,nhscMaxHpsaScorePc,siteCity,disciplineTwo,workSchedule,siteId,psMaxHpsaScoreMh,siteLongitude,camhpsActive,nhscMaxHpsaScoreDh,psMaxHpsaScorePc,siteStateAbbreviation,siteStateName,nhscActive,nursingMaxHpsaScorePc,siteTagList,siteOpportunityId,maxMctaHpsaScore,siteName,discipline,psMaxHpsaScoreDh,sitePhoneNumber,starActive,starMaxHpsaScoreMh,esrExternalIdentifier,siteAddressLine1,trainingSite,disciplineSpecialty,recordKey,disciplineOne,nursingActive,specialtyOne,opportunityType
NA,23,61.0000,23,,0,31701,31.606732,,,,24,Albany,,"{'fullTime': True, 'partTime': False}",ACC9A51A-7C8B-4125-BD40-94AD581841E1,23,-84.172253,True,NA,24,GA,Georgia,True,24,['SITE_PROFILE_COMPLETED'],1AEAF9C0-EBD3-4D9E-8F13-757047D7D78E,21,"Albany Area Primary Health Care, Inc.-Mirian Worthy Women's Health Center","['Physician, MD/DO']",25,2294056259,True,23,,2100 Palmyra Rd,False,"['Physician, MD/DO - OB/GYN']",1AEAF9C0-EBD3-4D9E-8F13-757047D7D78E,"Physician, MD/DO",True,OB/GYN,Job
NA,23,61.0000,NA,,0,31701,31.605351,,,,24,Albany,,"{'fullTime': True, 'partTime': False}",64A041DE-43A9-4706-A91C-A1E704215A61,23,-84.167174,True,NA,24,GA,Georgia,True,24,['SITE_PROFILE_COMPLETED'],CCEEF1FB-6204-4CE9-AA21-B1367FAA18AE,21,"Albany Area Primary Health Care, Inc. - Elois Edge Women's Health Center","['Physician, MD/DO']",25,2295012048,False,23,,1912 Arlington Ln,False,"['Physician, MD/DO - OB/GYN']",CCEEF1FB-6204-4CE9-AA21-B1367FAA18AE,"Physician, MD/DO",True,OB/GYN,Job
NA,20,58.0000,20,,0,23310,37.342944,,,,18,Cape Charles,,"{'fullTime': True, 'partTime': False}",41AB4EDF-A308-4F9C-B0D1-3BF06F7D2645,20,-75.942178,True,21,18,VA,,True,18,['SITE_PROFILE_COMPLETED'],F400870D-D116-4CFA-B544-62F56BBDA309,22,ESRH - Eastville Community Health Center,"['Physician, MD/DO']",21,,True,20,,17068 Lankford Hwy,False,"['Physician, MD/DO - Family Practice']",F400870D-D116-4CFA-B544-62F56BBDA309,"Physician, MD/DO",True,Family Practice,Job
NA,20,50.0000,20,,0,23336,37.93375465,,,,18,Chincoteague Island,,"{'fullTime': True, 'partTime': False}",146EFED4-0F90-4368-9E6B-53C1AA12F8B7,20,-75.37789459,True,21,18,VA,Virginia,True,18,['SITE_PROFILE_COMPLETED'],9DE0D4D6-8B6F-4B63-BD27-3236A35DF888,22,ESRH - Chincoteague Island Community Health Center,"['Physician, MD/DO']",21,7573363682,True,20,,4049 Main St,False,"['Physician, MD/DO - Family Practice']",9DE0D4D6-8B6F-4B63-BD27-3236A35DF888,"Physician, MD/DO",True,Family Practice,Job
NA,20,50.0000,20,,0,23417,37.689073107992,,,,18,Onancock,,"{'fullTime': True, 'partTime': False}",C5079B73-B14E-430E-BAD7-88C827FD41FE,20,-75.726039705671,True,21,18,VA,,True,18,"['NHSC_FORHP_RCORP_SITE', 'SITE_PROFILE_COMPLETED']",E73768FD-265B-4510-9D6A-0F7D8FC675C1,22,ESRH - Onley Community Health Center,"['Physician, MD/DO']",21,7574140400,True,20,,20306 Badger Ln,False,"['Physician, MD/DO - Family Practice']",E73768FD-265B-4510-9D6A-0F7D8FC675C1,"Physician, MD/DO",True,Family Practice,Job
NA,20,50.0000,20,,0,23415,37.965441,,,,18,New Church,,"{'fullTime': True, 'partTime': False}",1D33AB0D-05DF-48F1-AC2B-A130448EBC61,20,-75.532518,True,21,18,VA,,True,18,['SITE_PROFILE_COMPLETED'],40E16867-4D21-41F3-B5F6-069B7D61CFC8,22,ESRH - Atlantic Community Health Center,"['Physician, MD/DO']",21,,True,20,,5219 Lankford Hwy,False,"['Physician, MD/DO - Family Practice']",40E16867-4D21-41F3-B5F6-069B7D61CFC8,"Physician, MD/DO",True,Family Practice,Job
NA,22,55.0000,22,,0,62822,37.979442,,,,21,Christopher,,"{'fullTime': True, 'partTime': False}",91428ECB-DD51-487E-B644-00F194FF3058,22,-89.044435,True,23,21,IL,Illinois,True,21,['SITE_PROFILE_COMPLETED'],4055EAD6-9461-46E6-B471-0A2699868D07,17,Christopher (Greater Area) Rural Health Planning Corporation (CRHPC),"['Physician, MD/DO']",23,6187242401,True,22,,4241 State Highway 14,False,"['Physician, MD/DO - OB/GYN']",4055EAD6-9461-46E6-B471-0A2699868D07,"Physician, MD/DO",True,OB/GYN,Job
NA,20,60,20,,0,75215,32.77042,,,,21,Dallas,,"{'fullTime': False, 'partTime': True}",81FF2A7C-C755-4654-9DDB-255CF6F1E73F,20,-96.766878,True,25,21,TX,,True,21,['SITE_PROFILE_COMPLETED'],E2652DCF-9601-407C-8A44-9D574FCFB30C,19,"Foremost Family Health Center - Martin Luther King, Jr.","['Physician, MD/DO']",25,,False,20,,2922B Martin Luther King Jr Blvd,False,"['Physician, MD/DO - General Practice', 'Physician, MD/DO - Family Practice']",E2652DCF-9601-407C-8A44-9D574FCFB30C,"Physician, MD/DO",True,General Practice,Job
NA,20,NA,20,,0,75180,32.721107,,,,21,Balch Springs,,"{'fullTime': False, 'partTime': True}",95A86559-6CF2-4381-B5AB-E5785BE0654F,20,-96.614097,True,25,21,TX,Texas,True,21,['SITE_PROFILE_COMPLETED'],2266D88F-E01C-40D1-BC32-4F6EDDD134D9,19,Foremost Family Health Center - Balch Springs,"['Physician, MD/DO']",25,,False,20,,3515 Shepherd Ln,False,"['Physician, MD/DO - General Practice', 'Physician, MD/DO - Family Practice']",2266D88F-E01C-40D1-BC32-4F6EDDD134D9,"Physician, MD/DO",True,General Practice,Job
NA,23,34,23,,0,27870,36.430796,,,,22,Roanoke Rapids,,"{'fullTime': True, 'partTime': False}",59E2A2BE-B145-4B85-8141-AB25AB6D556A,23,-77.641846,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],1A9203BD-C63D-45FF-98B7-5E3548A42F9F,22,Rural Health Group Family and Women’s Health,"['Physician, MD/DO']",25,,True,23,,1381 Medical Center Dr,False,"['Physician, MD/DO - OB/GYN']",1A9203BD-C63D-45FF-98B7-5E3548A42F9F,"Physician, MD/DO",True,OB/GYN,Job
